category,order_date,qty_ordered,price,unique_skus
Appliances,2020-10-01,34.0,144.97777777777776,9
Appliances,2020-10-02,22.0,369.025,6
Appliances,2020-10-03,18.0,342.90000000000003,6
Appliances,2020-10-04,12.0,270.8,4
Appliances,2020-10-05,16.0,1141.375,8
Appliances,2020-10-06,30.0,594.4000000000001,12
Appliances,2020-10-07,15.0,508.87449999999995,6
Appliances,2020-10-08,20.0,781.54,10
Appliances,2020-10-09,16.0,161.78050000000002,4
Appliances,2020-10-10,9.0,228.0,5
Appliances,2020-10-11,23.0,334.8666666666667,6
Appliances,2020-10-12,4.0,303.95,2
Appliances,2020-10-14,24.0,604.35,4
Appliances,2020-10-15,4.0,477.25,2
Appliances,2020-10-16,6.0,363.4666666666667,3
Appliances,2020-10-17,26.0,909.0846153846154,5
Appliances,2020-10-18,4.0,88.5,2
Appliances,2020-10-20,17.0,908.9,2
Appliances,2020-10-21,27.0,384.9,5
Appliances,2020-10-22,6.0,3466.3333333333335,3
Appliances,2020-10-23,10.0,1543.24,5
Appliances,2020-10-24,19.0,314.2,5
Appliances,2020-10-25,29.0,203.85999999999999,5
Appliances,2020-10-26,8.0,127.675,4
Appliances,2020-10-28,21.0,277.2,5
Appliances,2020-10-29,25.0,136.04000000000002,5
Appliances,2020-10-30,11.0,310.8,3
Appliances,2020-10-31,4.0,959.95,2
Appliances,2020-11-01,3.0,72.2,1
Appliances,2020-11-04,2.0,266.5,1
Appliances,2020-11-05,8.0,782.6985,4
Appliances,2020-11-06,27.0,297.39230769230767,11
Appliances,2020-11-07,17.0,687.8625,6
Appliances,2020-11-08,6.0,387.90000000000003,3
Appliances,2020-11-09,13.0,246.1,3
Appliances,2020-11-10,14.0,704.7666666666668,5
Appliances,2020-11-11,12.0,350.32,4
Appliances,2020-11-12,144.0,440.55135135135134,28
Appliances,2020-11-13,4.0,154.45,2
Appliances,2020-11-14,17.0,812.775,8
Appliances,2020-11-15,16.0,540.1,7
Appliances,2020-11-16,12.0,1136.3833333333334,3
Appliances,2020-11-17,14.0,1614.2714285714285,7
Appliances,2020-11-18,15.0,1422.6499999999999,8
Appliances,2020-11-19,2.0,589.5,1
Appliances,2020-11-20,10.0,181.18,5
Appliances,2020-11-21,22.0,580.72,7
Appliances,2020-11-22,16.0,627.1,8
Appliances,2020-11-23,2.0,1800.0,1
Appliances,2020-11-24,7.0,142.43333333333334,3
Appliances,2020-11-25,16.0,380.975,8
Appliances,2020-11-26,21.0,263.0,10
Appliances,2020-11-27,9.0,1450.6,5
Appliances,2020-11-28,28.0,1023.5763333333333,12
Appliances,2020-11-29,49.0,540.9142857142857,19
Appliances,2020-11-30,18.0,396.2,7
Appliances,2020-12-01,8.0,243.6,4
Appliances,2020-12-02,13.0,176.6,7
Appliances,2020-12-03,16.0,488.5571428571429,7
Appliances,2020-12-04,12.0,1070.7666666666667,6
Appliances,2020-12-05,30.0,657.2375,12
Appliances,2020-12-06,114.0,277.8425925925926,16
Appliances,2020-12-07,23.0,216.55454545454543,8
Appliances,2020-12-08,10.0,280.94,5
Appliances,2020-12-09,19.0,223.35555555555555,8
Appliances,2020-12-10,16.0,248.35,8
Appliances,2020-12-11,33.0,114.48461538461538,4
Appliances,2020-12-12,38.0,461.10588235294114,12
Appliances,2020-12-13,249.0,372.5230769230769,36
Appliances,2020-12-14,183.0,409.5760416666667,34
Appliances,2020-12-15,31.0,353.29333333333335,15
Appliances,2020-12-16,28.0,349.31538461538463,11
Appliances,2020-12-17,27.0,278.96153846153845,12
Appliances,2020-12-18,35.0,329.5235294117647,13
Appliances,2020-12-19,57.0,699.025925925926,24
Appliances,2020-12-20,1473.3700000000017,718.6521390374331,193
Appliances,2020-12-21,1473.3700000000017,708.6280794701986,152
Appliances,2020-12-22,1044.0,764.1095671981776,124
Appliances,2020-12-23,1473.3700000000017,627.7044313146233,162
Appliances,2020-12-24,1362.0,752.4882747068676,158
Appliances,2020-12-25,1168.0,759.0741035856574,191
Appliances,2020-12-26,1347.0,898.7251790017212,178
Appliances,2020-12-27,1473.3700000000017,870.1139348508634,272
Appliances,2020-12-28,955.0,894.7576823529412,164
Appliances,2020-12-29,900.0,1251.742161209068,139
Appliances,2020-12-30,350.0,511.37602234636876,86
Appliances,2020-12-31,158.0,555.3636363636364,53
Appliances,2021-01-01,72.0,346.04848484848486,26
Appliances,2021-01-02,184.0,655.3608695652174,56
Appliances,2021-01-03,102.0,328.6878048780488,29
Appliances,2021-01-04,60.0,407.35862068965514,20
Appliances,2021-01-05,70.0,427.38235294117646,30
Appliances,2021-01-06,62.0,429.48333333333335,25
Appliances,2021-01-07,46.0,327.7318181818182,18
